ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
"Card Campaign","2014-01-12 15:26:23",-30000,"EASY PLAN RAILWAY         GABORONE      BW",DEDUCT,0584012412153040,1,P_NzQzNjAxNTlfMTM4NjIzNjEzMS4wNzQ5,
"Card Campaign","2014-01-12 15:33:46",-50000,"BROADHURST INDUSTRIAL     BROADHURST    BW",DEDUCT,0584012416267521,1,P_NzI1MzE3NzdfMTM4MzA1MTM4OS4xNTY=,
"Card Campaign","2014-01-12 15:34:16",-17835,"292051 CHOPPIES VALUE STO BOTSWANA      BW",DEDUCT,0084012416562849,0,P_NzI0NTc2MjRfMTM4MTQ3ODYxMi4zMDE2,
"Card Campaign","2014-01-12 15:35:02",-30000,"TLOKWENG BOARDER GATE     BOTSWANA      BW",DEDUCT,0464012417031113,1,P_NzI3NjU3NDRfMTM4NTUzNTI5My42Njc2,
"Card Campaign","2014-01-12 15:46:12",-3145,"486554 PICK N' PAY        BOTSWANA      BW",DEDUCT,0004012423724491,0,P_NzI0MDU0NzNfMTM4MTIzODY0MC4wNTIz,
"Card Campaign","2014-01-12 15:48:12",-10000,"THAMAGA ATM               BWS           BW",DEDUCT,0584012424920836,1,P_NzI0NTg3OTdfMTM4MzEzNTMyNS4wMzk3,
"Card Campaign","2014-01-12 15:49:27",-16000,"Sunset Butchery 100343    Francistown   BW",DEDUCT,0084012571489190,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy,
"Card Campaign","2014-01-12 15:53:38",-5000,"*MOGODITSHANE2            MOGODITHSANE  BW",DEDUCT,0584012572181443,1,P_NzUyNzQwNDlfMTM4MzMxNTMwNC4xMzc1,
"Card Campaign","2014-01-12 15:54:05",-6000,"*KAGISO ATM13             GABORONE      BW",DEDUCT,0584012572453318,1,P_NzQ0Nzg2MjNfMTM4NjA2MTA2NC4yNTU=,
"Card Campaign","2014-01-12 15:55:13",-50000,"MAHALAPYE BRANCH          BOTSWANA      BW",DEDUCT,0478928932843767,1,P_NzQ0NDExNzFfMTM4NzI3NDgxMC42OTc5,
"Card Campaign","2014-01-12 15:59:22",-9550,"Magos Pub       102862    Jwaneng       BW",DEDUCT,0284012577448056,0,P_Nzc0OTg4MThfMTM4MTMyODQ1Ni43MTU4,
"Card Campaign","2014-01-12 16:02:33",-1000,"Choppies Superst102145    Lobatse       BW",DEDUCT,0084012579345939,0,P_NzY1NDkwMjNfMTM4NTEyOTU4MC45NDI2,
"Card Campaign","2014-01-12 16:07:26",-5000,"*RAIL PARK MALL           GABORONE      BW",DEDUCT,0384012580472805,1,P_NzIxNjIxMTRfMTM4MDk2MTY5Ny4zNTYx,
"Card Campaign","2014-01-12 16:07:56",-52790,"639993 C N A AIRPORT JUNC BOTSWANA      BW",DEDUCT,0164012436765976,0,P_NzIxMTI3NjZfMTM3NTcwMDA5MS41MjIx,
"Card Campaign","2014-01-12 16:09:09",-19403,"*MEGAWATT PARK            PALAPYE       BW",DEDUCT,0384012581494519,1,P_NzY1MDgxNDdfMTM4NDc3NTIxNi4wNjk1,
"Card Campaign","2014-01-12 16:09:13",-15000,"791604 BAKGATLA FILLING S BOTSWANA      BW",DEDUCT,0084012437535404,0,P_NzI5ODY2NDVfMTM4NzI2ODkzMS43MDcz,
"Card Campaign","2014-01-12 16:10:02",-6690,"Supa Save Mogodi100946    Gaborone      BW",DEDUCT,0084012583832355,0,P_NzI1MzUzMDFfMTM4ODczMjgyNS44NjM5,
